endTime,artistName,trackName,msPlayed,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre,clusters,new_gen
2021-05-10 02:40:00,Stray Kids,MIROH,890,0.564,0.979,9.0,-3.102,1.0,0.104,0.0091,0.0,0.249,0.505,126.059,207617.0,4.0,k-pop,3,indie pop
2021-05-10 02:40:00,10cm,Rebirth,630,0.541,0.155,8.0,-12.079,1.0,0.0546,0.84,0.0,0.202,0.383,101.182,226693.0,3.0,korean,11,pop
2021-05-10 02:40:00,YOASOBI,夜に駆ける,20030,0.67,0.8740000000000001,8.0,-5.221,1.0,0.0305,0.00231,1.7199999999999998e-05,0.3,0.789,130.041,261013.0,4.0,j-pop,1,k-pop
2021-05-10 02:40:00,WINNER,REALLY REALLY,710,0.765,0.77,2.0,-3.16,1.0,0.0592,0.1669999999999999,0.0,0.0854,0.581,103.005,203057.0,4.0,k-pop,6,japanese
2021-05-10 02:40:00,OH MY GIRL,Dolphin,820,0.858,0.68,4.0,-4.5310000000000015,1.0,0.0795,0.171,0.0,0.173,0.621,113.993,176773.0,4.0,k-pop,0,korean
2021-05-10 02:40:00,Masaki Suda,さよならエレジー,670,0.466,0.934,1.0,-2.736,1.0,0.0539,0.00331,0.0,0.277,0.615,154.961,257067.0,4.0,j-pop,4,j-pop
2021-05-10 02:40:00,サザンオールスターズ,TSUNAMI,690,0.491,0.6890000000000001,2.0,-4.476,1.0,0.0247,0.285,0.000505,0.279,0.5479999999999999,90.509,315500.0,4.0,j-pop,6,japanese
2021-05-10 02:40:00,Shin Giwon Piano,Love in the Milky Way Cafe,630,0.757,0.267,11.0,-14.305,1.0,0.0446,0.994,0.923,0.138,0.5920000000000001,122.041,171639.0,4.0,piano,5,rock
2021-05-10 02:40:00,N.Flying,Oh really.,740,0.634,0.895,6.0,-2.421,1.0,0.0505,0.302,0.0,0.211,0.797,145.02100000000004,195560.0,4.0,korean,10,hip-hop
2021-05-10 02:40:00,BOL4,When I Fall In Love 사랑에 빠졌을 때,0,0.46,0.775,1.0,-3.361,1.0,0.0976,0.246,0.0,0.175,0.56,191.89,230526.0,4.0,indie,4,j-pop
2021-05-10 02:40:00,Life of Hojj,Monday,0,0.728,0.588,3.0,-5.609,0.0,0.0911,0.524,0.0,0.112,0.684,124.085,172258.0,4.0,rap,9,electronic
2021-05-10 02:44:00,Kiro Akiyama,Caffeine,243253,0.73,0.455,6.0,-5.4670000000000005,1.0,0.0396,0.00372,0.0118,0.0649,0.763,133.996,243253.0,4.0,indie rock,10,hip-hop
2021-05-10 02:45:00,BOL4,You(=I),410,0.695,0.895,0.0,-3.237,0.0,0.0403,0.618,0.000321,0.307,0.6809999999999999,105.03,169478.0,4.0,indie,7,lo-fi
2021-05-10 02:45:00,The Lamb,Plastic Girl,480,0.633,0.873,7.0,-5.932,1.0,0.0444,0.0903,0.000196,0.183,0.593,114.015,199211.0,4.0,trip-hop,2,indie
2021-05-10 02:45:00,The Rose,RED,500,0.623,0.743,8.0,-2.26,1.0,0.0353,0.224,0.0,0.0914,0.52,128.07,176467.0,4.0,rock,1,k-pop
