,endTime,artistName,trackName,msPlayed,trackIDs
16469,2021-08-20 02:03:00,Ivy Mono,Stars Are Blind,229540,2ODFDcoXUe1UjE72l56y0p
16470,2021-08-20 02:05:00,Make Out Monday,Blue Romance,125767,4Uc6vIf41nG7lxCkc7rkMy
16471,2021-08-20 03:45:00,10cm,Go Back (Inst.),4980,0cg6hr4Et0vOQSt3IbQ28O
16472,2021-08-20 03:48:00,10cm,Go Back,207360,4GhDaROSZ1HHh6qGHxBR0O
16473,2021-08-20 03:48:00,10cm,Sleepless in Seoul - Instrumental,5570,0l8XExuzvXJDha3gAfd6nr
16474,2021-08-20 03:49:00,YOASOBI,たぶん,12760,62Lv9WcrfzJqhvYDbilJy3
16475,2021-08-20 03:49:00,SURL,Dancing on the Rooftop 옥상에서 춤을,6140,
16476,2021-08-20 03:49:00,SHAUN,36.5,6540,4jAdC1wuRgCLLFJVHeV1rV
16477,2021-08-20 03:49:00,10cm,Sleepless in Seoul (Feat. LEE SUHYUN),15600,2bPHxBNkKpnehnmEBYuW9n
16478,2021-08-20 03:50:00,Omoinotake,One Day,82630,648sjoR2ga0PXixXttyqzJ
16479,2021-08-20 03:53:00,SURL,Dancing on the Rooftop 옥상에서 춤을,5930,
16480,2021-08-20 03:53:00,pH-1,Nerdy Love,151010,2TfsNTyC4uuamXBZJnU0ga
16481,2021-08-20 03:53:00,LUCY,Flowering,3050,1ygmHMAn6HYtCrQ4fHqD0x
16482,2021-08-20 03:57:00,X Lovers,LOVE,43233,3qtIOrv0F111h91FY6uTYA
16483,2021-08-20 03:57:00,JUNE,"Beautiful (Feat. Gaho, Moti, Jung Jin Woo)",211506,0xbbTowPEommrfPqICY2ro
16484,2021-08-20 03:58:00,Conan Gray,Wish You Were Sober,1030,0kn2gu8Pd03DiYHzRvX2Xk
16485,2021-08-20 03:58:00,Valley,hiccup,580,1NfqGbaWcZLor12cITE5Fv
16486,2021-08-20 03:58:00,Stray Kids,MIROH,1490,2sFWzfV3kqAwXEWM9BjzwH
16487,2021-08-20 03:58:00,Ūla,Futon,870,0F57gwy0G6aqnaMAH1ELSV
16488,2021-08-20 03:58:00,The Neighbourhood,Stargazing,41710,0VF7YLIxSQKyNiFL3X6MmN
16489,2021-08-20 03:58:00,Epik High,End of the World,18940,
16490,2021-08-20 03:58:00,IDER,cbb to b sad,540,56b4sQ1Sxi3ox5CoCmcp49
16491,2021-08-20 03:58:00,Claire Rosinkranz,Hotel,2810,3xyr2xfbSZiZWWGsjLyMFh
16492,2021-08-20 04:03:00,10cm,Sleepless in Seoul (Feat. LEE SUHYUN),257453,2bPHxBNkKpnehnmEBYuW9n
16493,2021-08-20 04:06:00,SURL,Dry Flower,183186,1Dqo8RY50LMCvjjA3kOrNZ
16494,2021-08-21 01:56:00,DAY6,Zombie - English Ver.,9720,3h34cQPPddk4x9cluPIAvv
16495,2021-08-21 01:56:00,Smallpools,Insincere,2554,5nCPI1ZmKhBSGDOw9x7JcX
16496,2021-08-21 01:57:00,THE DRIVER ERA,A Kiss,1114,2dW3ZWlCrV4T1SBR1u1ttz
16497,2021-08-21 01:57:00,Surfaces,Wave of You,40379,5Ne1q9Hv3l2NHBA3Agt8WT
16498,2021-08-21 01:57:00,Box the Oxford,1922,905,4U4hey6H02kTMjVqw6dNh8
16499,2021-08-21 01:57:00,Why Don't We,Fallin’ (Adrenaline),2136,6nfqlFOMiWthaOEa53uU0v
16500,2021-08-21 01:57:00,Cage The Elephant,Ain't No Rest for the Wicked,882,3Pzh926pXggbMe2ZpXyMV7
16501,2021-08-21 02:00:00,The Happy Fits,"So Alright, Cool, Whatever",191360,5NxC33tgrysAEqc62yukdT
16502,2021-08-21 02:04:00,The Academic,Bear Claws,213114,3lJIMpVTbmEwUXy0m4U9lU
16503,2021-08-21 02:05:00,Motherfolk,Kill the Sun,1509,34uXlhi3eN9jpO95CgeV0o
16504,2021-08-21 02:05:00,MAGIC GIANT,Window,59939,2TV9fAIDDJ3dMwJCj1a5pc
16505,2021-08-21 02:05:00,Armors,DOA,2623,4sy86utWrvEKd2w7zfnzL3
16506,2021-08-21 02:08:00,COIN,Simple Romance,194533,5JV2KH2HzoofJKSzdEukBp
16507,2021-08-21 02:09:00,Scott Helman,Sweet Tooth,928,2qROUDWN1RCJoyiVSr6ifm
16508,2021-08-21 02:09:00,MyKey,Runaway,1230,6Qqu7kSTQwrCzcsrDCPaCn
16509,2021-08-21 02:09:00,Stop Light Observations,h d w g h ?,22058,2S06d3CoWe0ST1A3Uw3yCE
16510,2021-08-21 02:09:00,The Band CAMINO,See Through,1323,1pJzl0YsxaWj6BbPs1mUuQ
16511,2021-08-21 02:09:00,The Band CAMINO,Farsighted,835,1F4f9YO3at5eKrEQrITBa8
16512,2021-08-21 02:09:00,IV Of Spades,Come Inside Of My Heart,2321,3Eb5sztvEMa0Mqnb8DUAlU
