,endTime,artistName,trackName,msPlayed,trackIDs
4118,2022-01-16 03:42:00,Virginia To Vegas,amnesia,154856,21jkiLxzuDmn1DQGrNpMdS
4119,2022-01-16 03:44:00,Valley,Oh shit…are we in love?,155384,4BIuY0oEopXizyP3WvkNrT
4120,2022-01-16 03:47:00,Lauv,Sims,155080,5ikx3xVoCAoEMh47AYmZNe
4121,2022-01-16 03:50:00,Ruel,Painkiller,213506,1YlulsUKDduOmC7WxvXYPW
4122,2022-01-16 03:53:00,dhruv,double take,171743,0QzuaeCEEOV40Pn7IvKEny
4123,2022-01-16 03:56:00,Cody Lovaas,OH NO!,171185,7LiGptffUbVAtbxzQnvBi9
4124,2022-01-16 03:59:00,Lauv,Tattoos Together,186613,1Srt81FTalOhRw7t7l8Yh8
4125,2022-01-16 04:03:00,IV Of Spades,Come Inside Of My Heart,246396,3Eb5sztvEMa0Mqnb8DUAlU
4126,2022-01-16 04:06:00,COIN,How It Feels,157173,01oxWSLxPWbyTEjPJVb6wO
4127,2022-01-16 04:09:00,lovelytheband,emotion,219473,0XEgPU43khXFBkMMGILzds
4128,2022-01-16 04:12:00,Lauv,Canada (feat. Alessia Cara),184008,6Rf3dWdNQs5LTqFOiavqQr
4129,2022-01-16 04:16:00,Surfaces,Wave of You,213842,5Ne1q9Hv3l2NHBA3Agt8WT
4130,2022-01-16 04:16:00,Surf Curse,Freaks,30853,7EkWXAI1wn8Ii883ecd9xr
4131,2022-01-16 04:19:00,Tyde Levi,AAA,10408,1DnN1RRe7dFzCkfU72XuZI
4132,2022-01-16 04:19:00,Lauv,i'm so tired...,162586,4vjpLMyL3ZO6aphdYr8XYw
4133,2022-01-16 04:19:00,The Band CAMINO,2 / 14,1625,2QwpEi3eNToZCCMMRcOj0u
4134,2022-01-16 04:23:00,LANY,dancing in the kitchen,208808,0ohcCrxZkBfFbkuRPOZQZX
4135,2022-01-16 04:25:00,ROLE MODEL,blind,153293,0NuWgxEp51CutD2pJoF4OM
4136,2022-01-16 04:27:00,JVKE,this is what falling in love feels like,120308,4UG2Fm0E98LhE2dlNxiAXx
4137,2022-01-16 04:30:00,Virginia To Vegas,Just Friends,89693,02Ygu8lo3qSknRpcBnspso
4138,2022-01-16 06:41:00,Eminem,Godzilla (feat. Juice WRLD),221330,7FIWs0pqAYbP91WWM0vlTQ
4139,2022-01-16 06:42:00,Logic,Confessions of a Dangerous Mind,2100,6yIGZp1AaFBoDczu3b4hVU
4140,2022-01-16 06:42:00,Eminem,Godzilla (feat. Juice WRLD),100,7FIWs0pqAYbP91WWM0vlTQ
4141,2022-01-16 06:45:00,Logic,Homicide (feat. Eminem),216830,7M2tXmeS15NAzEn7ABFeBg
4142,2022-01-16 06:45:00,Jeremih,oui,290,0PJIbOdMs3bd5AT8liULMQ
4143,2022-01-16 06:49:00,Jeremih,oui,238320,0PJIbOdMs3bd5AT8liULMQ
4144,2022-01-16 06:49:00,Jeremih,oui,4770,0PJIbOdMs3bd5AT8liULMQ
4145,2022-01-16 06:52:00,Lauv,i'm so tired...,162586,4vjpLMyL3ZO6aphdYr8XYw
4146,2022-01-16 06:55:00,Lauv,For Now,189240,0PxJmAlyKcRdd1r9FvDbTn
4147,2022-01-16 06:58:00,Virginia To Vegas,amnesia,154856,21jkiLxzuDmn1DQGrNpMdS
4148,2022-01-16 07:01:00,lovelytheband,emotion,219473,0XEgPU43khXFBkMMGILzds
4149,2022-01-16 07:05:00,Ashe,Till Forever Falls Apart,15854,4x5YzxjrF9wvIIXJV7TveC
4150,2022-01-16 07:05:00,LANY,dancing in the kitchen,208808,0ohcCrxZkBfFbkuRPOZQZX
4151,2022-01-16 07:08:00,The Band CAMINO,2 / 14,163690,2QwpEi3eNToZCCMMRcOj0u
4152,2022-01-16 07:12:00,Ruel,Painkiller,213506,1YlulsUKDduOmC7WxvXYPW
4153,2022-01-16 07:14:00,JVKE,this is what falling in love feels like,120308,4UG2Fm0E98LhE2dlNxiAXx
4154,2022-01-16 07:16:00,Valley,Oh shit…are we in love?,155384,4BIuY0oEopXizyP3WvkNrT
4155,2022-01-16 07:16:00,IV Of Spades,Come Inside Of My Heart,7629,3Eb5sztvEMa0Mqnb8DUAlU
4156,2022-01-16 07:20:00,Jeremih,oui,238320,0PJIbOdMs3bd5AT8liULMQ
4157,2022-01-16 07:24:00,Ruel,Painkiller,213506,1YlulsUKDduOmC7WxvXYPW
4158,2022-01-16 19:56:00,IV Of Spades,Come Inside Of My Heart,87803,3Eb5sztvEMa0Mqnb8DUAlU
4159,2022-01-17 03:15:00,LUM!X,Champion - Summer 2021 LEC Playoffs Anthem,6590,3nbvj1GsaOHioiXwuPep3k
4160,2022-01-17 03:18:00,keshi,always,172354,26dXOkhzMxLLNaUXt77HQc
4161,2022-01-17 03:21:00,DPR LIVE,Diamonds + And Pearls,835,314oBdIvnoTPDwSP4zOP8p
4162,2022-01-17 03:21:00,keshi,skeletons,719,2BuJrxYKhYky20dQqTlobO
4163,2022-01-17 03:21:00,88rising,California (feat. Warren Hue),1160,3Qj2f7BrpJNGj3dbxKpOlp
4164,2022-01-17 03:21:00,SHAUN,Blue (feat. Wonstein),1393,2Mopfg1kat03jUVeFA1Q6p
4165,2022-01-17 03:21:00,NIKI,lowkey,171355,5TTXEcfsYLh6fTarLaevTi
4166,2022-01-17 03:21:00,DPR LIVE,Jam & Butterfly,952,5rZkRaL4AjykFgw49KULyo
4167,2022-01-17 03:21:00,DPR CREAM,Color Drive,1230,2CbkBIUKBxPFY38a7dCLcc
4168,2022-01-17 03:21:00,pH-1,LATELY (Feat. Hoody),1695,68W9Rt5yAcalwteykLJ82a
4169,2022-01-17 03:21:00,keshi,beside you,1184,1Fhb9iJPufNMZSwupsXiRe
4170,2022-01-17 03:21:00,DEAN,풀어,19393,2p980qlVXYLh3HdHusbhfa
4171,2022-01-17 03:21:00,DPR LIVE,Text Me,1486,1dN4Z7wZTQXLEl33RkMO3a
4172,2022-01-17 03:21:00,DEAN,instagram,952,6z1kLsntE7FuzKZHZWrXYN
4173,2022-01-17 03:24:00,keshi,SOMEBODY,164662,3iqlzKw1tLt6tXZyKWV0fZ
4174,2022-01-17 03:27:00,pH-1,365&7 (Feat. JAMIE),169133,6VYY26Wws3jIS1DdqeOsXZ
4175,2022-01-17 03:31:00,Sik-K,iffy (Prod. GroovyRoom),259982,4q9JLlC3HIhN4CDC6KlpYK
