,endTime,artistName,trackName,msPlayed,trackIDs
8382,2022-03-21 16:59:00,Valley,Oh shit…are we in love?,155384,4BIuY0oEopXizyP3WvkNrT
8383,2022-03-21 17:03:00,lovelytheband,"don't worry, you will",197000,09akcdeCiV2jIl6x9WpmxA
8384,2022-03-21 17:03:00,Tyde Levi,AAA,4921,1DnN1RRe7dFzCkfU72XuZI
8385,2022-03-21 17:03:00,Lauv,i'm so tired...,490,4vjpLMyL3ZO6aphdYr8XYw
8386,2022-03-21 17:07:00,Lauv,Modern Loneliness,252337,1eyek0KJEh2v5HQ9uQSybb
8387,2022-03-21 17:09:00,ROLE MODEL,blind,58834,0NuWgxEp51CutD2pJoF4OM
8388,2022-03-22 03:27:00,Landon Conrath,Last Week,217790,0eIqoSvfTqnQgr241KxqYr
8389,2022-03-22 03:29:00,hrishi,Paul McCartney (superstar),164343,6FO6ofhaQrs3sU86jzubkK
8390,2022-03-22 03:31:00,Your Neighbors,Chicken,91611,7fPUzdTdRD8xIJUOq0uX6n
8391,2022-03-25 02:59:00,League of Legends,Phoenix,0,6zAiRKvAMlXHxEtyO4yxIO
8392,2022-03-25 02:59:00,League of Legends,Take Over,650,7asFSf2pkWNEG3E5EuN1QR
8393,2022-03-25 02:59:00,Danny McCarthy,Silver Scrapes (As Featured In League of Legends Season 2 World Championship),0,3CtZB2dVuHWHXIGShH9jUK
8394,2022-03-25 02:59:00,Hot Chelle Rae,Tangerine,895,6V8KMTrbxz5J3qgg6F0IyJ
8395,2022-03-25 02:59:00,BOL4,You(=I),5720,6IBPrw5nYj84x8JpiOvXUp
8396,2022-03-25 02:59:00,MC Virgins,Trap Anthem,0,5YOlr46EwaH34hfN6r4vXR
8397,2022-03-25 02:59:00,Curtis Waters,Stunnin' (feat. Harm Franklin),0,2JSmxLqt8h7ZpJJkfuLJvK
8398,2022-03-25 02:59:00,Train,Drive By,0,0KAiuUOrLTIkzkpfpn9jb9
8399,2022-03-25 02:59:00,KANA-BOON,スターマーカー,0,0pQm5AbAaVy9XrOLf7rgSF
8400,2022-03-25 02:59:00,The Band CAMINO,See Through,0,1pJzl0YsxaWj6BbPs1mUuQ
8401,2022-03-25 02:59:00,KANA-BOON,ハグルマ,0,3PZ3L74f26SFyQfVLfuMnH
8402,2022-03-25 02:59:00,League of Legends,Warriors,0,3f4fc8c8unrQeKecmUPEDR
8403,2022-03-25 02:59:00,Leland Blue,Lying to Myself,991,509OiuJE6dMYeJytk3ub91
8404,2022-03-25 02:59:00,YOASOBI,夜に駆ける,1930,3dPtXHP0oXQ4HCWHsOA9js
8405,2022-03-25 02:59:00,wolfi,misleading,184500,3gv6fbSPHJvSaA4LmCkpid
8406,2022-03-25 02:59:00,Johnny Stimson,Zombies,0,1JH0sX7N3KQIVTKJw6UNGi
8407,2022-03-25 02:59:00,Yoh kamiyama,色香水,543,7FpABRyv5TaZz0llkhjPgc
8408,2022-03-25 02:59:00,Ashe,Moral of the Story,0,2nC3QhMI9reBIOWutbU3Tj
8409,2022-03-25 02:59:00,Absofacto,Someone Else’s Dream,0,0N7uBJVtUegyKXKegKgjHX
8410,2022-03-25 02:59:00,Panicland,The Edge,0,3V7fPYLX3zQB2c0h5GGVoK
8411,2022-03-25 02:59:00,Sanjana,Can I,0,3ZjsCen27ybUZGSQicZCQS
8412,2022-03-25 02:59:00,BØRNS,Electric Love,0,2GiJYvgVaD2HtM8GqD9EgQ
8413,2022-03-25 02:59:00,Lorde,Team,1226,3G6hD9B2ZHOsgf4WfNu7X1
8414,2022-03-25 02:59:00,Marshmello,Chasing Colors (feat. Noah Cyrus),810,1VxogbO6bfygdfaCnE9oLb
8415,2022-03-25 02:59:00,Lauv,Sims,3850,5ikx3xVoCAoEMh47AYmZNe
8416,2022-03-25 02:59:00,Mac DeMarco,Freaking Out the Neighborhood,85,3HlK8txWAdtKMrbsqX40pl
8417,2022-03-25 02:59:00,I DONT KNOW HOW BUT THEY FOUND ME,Leave Me Alone,0,1cIi1x8ANjMO97wH5OfYO1
8418,2022-03-25 02:59:00,Eric Prydz,Call on Me - Radio Mix,0,1xNcBAoUw8Hz6LqK2jt4Ff
8419,2022-03-25 02:59:00,frad,First Date,1056,733hyyG8U8kxxebds98nc6
8420,2022-03-25 02:59:00,WayV,Love Talk - English Version,2048,2e3cJdJ8xWwydl8JIYlCqB
8421,2022-03-25 02:59:00,HRVY,Talk To Ya,0,0PFGX2bL2gVYxCvTP9O6c0
8422,2022-03-25 03:04:00,Lauv,Modern Loneliness,252337,1eyek0KJEh2v5HQ9uQSybb
8423,2022-03-25 03:07:00,Surfaces,Wave of You,213842,5Ne1q9Hv3l2NHBA3Agt8WT
8424,2022-03-25 03:10:00,lovelytheband,i like the way,180000,3LjZJVUEJ06TQ8AOO2Mg8m
8425,2022-03-25 03:11:00,lovelytheband,"don't worry, you will",1280,09akcdeCiV2jIl6x9WpmxA
8426,2022-03-25 03:11:00,Tyde Levi,AAA,25088,1DnN1RRe7dFzCkfU72XuZI
8427,2022-03-25 03:11:00,COIN,How It Feels,1589,01oxWSLxPWbyTEjPJVb6wO
8428,2022-03-25 03:11:00,Virginia To Vegas,Just Friends,1866,02Ygu8lo3qSknRpcBnspso
8429,2022-03-25 03:11:00,IV Of Spades,Come Inside Of My Heart,981,3Eb5sztvEMa0Mqnb8DUAlU
8430,2022-03-25 03:14:00,lovelytheband,emotion,219473,0XEgPU43khXFBkMMGILzds
8431,2022-03-25 03:15:00,Surf Curse,Freaks,7738,7EkWXAI1wn8Ii883ecd9xr
8432,2022-03-25 03:15:00,Lauv,Tattoos Together,885,1Srt81FTalOhRw7t7l8Yh8
8433,2022-03-25 04:27:00,We.B,"Wild Side (From ""Beastars"")",5589,6QdP0hszMjRE3viB0F0GgD
8434,2022-03-25 04:27:00,keshi,GABRIEL,831,4RfjLV2FwnrxCjhCA3ZHf0
8435,2022-03-25 04:27:00,Virginia To Vegas,amnesia,2693,21jkiLxzuDmn1DQGrNpMdS
8436,2022-03-26 00:13:00,DPR LIVE,Boom,4250,7xgHy510SVkSgV1ZpzElW1
8437,2022-03-26 00:13:00,Twenty One Pilots,Shy Away,1330,2nG54Y4a3sH9YpfxMolOyi
8438,2022-03-26 00:13:00,keshi,GABRIEL,33910,4RfjLV2FwnrxCjhCA3ZHf0
8439,2022-03-26 00:13:00,Bleachers,Rollercoaster,2020,5L95vS64rG1YMIFm1hLjyZ
8440,2022-03-26 00:13:00,Bleachers,Rollercoaster,950,5L95vS64rG1YMIFm1hLjyZ
