,endTime,artistName,trackName,msPlayed,trackIDs
12352,2021-06-06 02:00:00,I DONT KNOW HOW BUT THEY FOUND ME,Social Climb,420,3xUsaaH6oCG1w8kD1oGhGW
12353,2021-06-06 02:00:00,Last Youth,Too Soon,2930,3mV1WyIvvb8dKnZW3kzLEb
12354,2021-06-06 02:00:00,Cage The Elephant,Ain't No Rest for the Wicked,69634,3Pzh926pXggbMe2ZpXyMV7
12355,2021-06-06 02:00:00,I DONT KNOW HOW BUT THEY FOUND ME,Absinthe,520,4hs2FbesB8qo6H5Berbikd
12356,2021-06-06 02:00:00,Florence Rose,Just Relax,720,6A1OhFZpLOdsMZpO86FM5E
12357,2021-06-06 02:01:00,COIN,Youuu,1940,7u1es8J70XtwkKXWBDXsyZ
12358,2021-06-06 02:01:00,Blonds,Crybaby,510,3kZazkf34V67gkhEIK3SNr
12359,2021-06-06 02:01:00,COIN,Nobody's Baby,490,6vszzBRAUypoJ8SwmWqHvP
12360,2021-06-06 03:36:00,Little Hurt,Alaska,2040,33K76XhnAvPLBuX1G9gjIs
12361,2021-06-06 16:58:00,MAGIC GIANT,Outta My Head,1690,1E4i0Acldoa1uclFevNIso
12362,2021-06-06 16:58:00,Smallpools,Million Bucks,240,6Hx7kdHB9kGdxnw2EwSx2V
12363,2021-06-06 16:58:00,MAGIC GIANT,Disaster Party,1560,0tZQkiMamZC9PVKeIDtvTP
12364,2021-06-06 16:58:00,I DONT KNOW HOW BUT THEY FOUND ME,Social Climb,600,3xUsaaH6oCG1w8kD1oGhGW
12365,2021-06-06 16:58:00,Why Don't We,Fallin’ (Adrenaline),530,6nfqlFOMiWthaOEa53uU0v
12366,2021-06-06 16:58:00,Co-Stanza,I Don't Mind,1130,76erERb1bC1m0HsCpbbe3t
12367,2021-06-06 16:58:00,Half the Animal,Hi Lo,670,3fDs0VcZAGRYliBAm17HK0
12368,2021-06-06 16:58:00,ROLE MODEL,blind,1160,0NuWgxEp51CutD2pJoF4OM
12369,2021-06-06 16:58:00,The Ready Set,There Are Days,970,3dNWyk2Rz1OTtVSVOUlspM
12370,2021-06-06 16:58:00,Panic! At The Disco,High Hopes,1080,1rqqCSm0Qe4I9rUvWncaom
12371,2021-06-06 16:58:00,Knox Hamilton,Beach Boy,600,5r6dpSK8qbHVirjvVbCGt9
12372,2021-06-06 17:00:00,Scott Helman,Sweet Tooth,980,2qROUDWN1RCJoyiVSr6ifm
12373,2021-06-06 17:00:00,Chaz Cardigan,Haircut,4100,7sp7pzysWVCI2tGGjNSkFf
12374,2021-06-06 17:00:00,MyKey,Runaway,810,6Qqu7kSTQwrCzcsrDCPaCn
12375,2021-06-06 17:00:00,Stop Light Observations,h d w g h ?,1200,2S06d3CoWe0ST1A3Uw3yCE
12376,2021-06-06 17:00:00,Box the Oxford,1922,100590,4U4hey6H02kTMjVqw6dNh8
12377,2021-06-06 17:00:00,Hotel Mira,Jungle,1040,3Tb5E58HovZ3EGQI62QDpG
12378,2021-06-06 17:00:00,COIN,Hannah,1500,2wpk3LBZJiYXgfPw86kxX2
12379,2021-06-06 17:00:00,Mid-Day Moon,Hey Wait,1530,1RCiGhWciLiZ265ZOYfw0Y
12380,2021-06-06 17:00:00,Smallpools,Insincere,860,5nCPI1ZmKhBSGDOw9x7JcX
12381,2021-06-06 17:00:00,Box the Oxford,Someone,1070,0R9Km472FDiZ3lIJQcKspK
12382,2021-06-06 17:00:00,Sub-Radio,Flashback,950,1ZVjgdDDIEgiwa8wXE4F82
12383,2021-06-06 17:08:00,New Dialogue,Flesh & Blood (feat. Smallpools),150,6VtcTi8x3NeNQp4icvREQi
12384,2021-06-06 17:08:00,COIN,Babe Ruth,1830,3mCjMGGea0h42M4kOvykXA
12385,2021-06-06 17:08:00,George Barnett,Stone Cold Classic,169910,6o6eCHsH5NsEfUrHvgFDxL
12386,2021-06-06 17:11:00,New Dialogue,Flesh & Blood (feat. Smallpools),178965,6VtcTi8x3NeNQp4icvREQi
12387,2021-06-06 17:11:00,COIN,Babe Ruth,3904,3mCjMGGea0h42M4kOvykXA
12388,2021-06-06 17:12:00,COIN,Sort It Out,940,5nCYlkCNbjhtDUHVthb7X4
12389,2021-06-06 17:12:00,COIN,Crash My Car,1470,0X5mtNbqxbiTYkwj0CQc2f
12390,2021-06-06 17:12:00,Divided Minds,Bad Bitch,1360,2UDXiOdNjR9wR0EiZQ1ck0
12391,2021-06-06 17:12:00,Little Hurt,Alaska,1350,33K76XhnAvPLBuX1G9gjIs
12392,2021-06-06 17:12:00,COIN,Into My Arms,68710,5zTkiTjxGgLlhtc24r2Qse
12393,2021-06-06 17:12:00,Florence Rose,Just Relax,840,6A1OhFZpLOdsMZpO86FM5E
12394,2021-06-06 17:15:00,The Academic,Bear Claws,213114,3lJIMpVTbmEwUXy0m4U9lU
12395,2021-06-06 17:19:00,The Catching,Change,189489,52h2nb4IDPDsoXRjeOCuuK
12396,2021-06-06 17:19:00,courtship.,Sunroof,1426,1zLEXRNVucrDxxI1qmGO9Z
12397,2021-06-07 03:35:00,The Academic,Bear Claws,5090,3lJIMpVTbmEwUXy0m4U9lU
12398,2021-06-07 03:36:00,DAY6,Say Hello,480,25QZXjkQ1x0uFbcQ6PUeMK
12399,2021-06-07 03:36:00,KARD,Bomb Bomb,2150,2U6RSyXFnDVNYoD9iUgi09
12400,2021-06-07 03:36:00,DAY6,Zombie - English Ver.,10,3h34cQPPddk4x9cluPIAvv
12401,2021-06-07 03:36:00,GOT7,You Calling My Name,1530,6f4wghlwYWGLqGEIKc6HDQ
12402,2021-06-07 03:36:00,10cm,However,600,2IyXEo8uco4MvrSJWXKcbL
12403,2021-06-07 03:36:00,10cm,However,1550,2IyXEo8uco4MvrSJWXKcbL
12404,2021-06-07 03:36:00,SHINee,SUPERSTAR,570,7jiV2MnieeHtnYqTrXmQHD
12405,2021-06-07 03:36:00,The Lamb,Plastic Girl,180,3z6ZDn8Rdb9gO1LG4xEy67
12406,2021-06-07 03:36:00,Henry Young,Honestly,1580,2IfWR8zwsvNHdixteHOIF7
12407,2021-06-07 03:36:00,Motherfolk,Kill the Sun,6070,34uXlhi3eN9jpO95CgeV0o
12408,2021-06-07 03:36:00,Stella Jang,Would You Love Me?,700,2oR3YkeTtH4lV6nzt7xxrh
12409,2021-06-07 03:36:00,SHAUN,Blue (feat. Wonstein),740,2Mopfg1kat03jUVeFA1Q6p
12410,2021-06-07 03:36:00,SHAUN,Blue (feat. Wonstein),860,2Mopfg1kat03jUVeFA1Q6p
12411,2021-06-07 03:36:00,10cm,Island,380,0MFMyPAWAtzGfoM8kQhgL4
12412,2021-06-07 03:36:00,Ado,レディメイド,420,3hkGr1uZjTdiAPZrk2NTiP
12413,2021-06-07 03:36:00,Kiro Akiyama,Caffeine,1090,708feUe50Ed8N6zilSiSQM
12414,2021-06-07 03:36:00,Kenshi Yonezu,砂の惑星 ( + 初音ミク ),1410,3aYz5EBaRTWLpsfyUIsQyX
12415,2021-06-07 03:36:00,BOL4,Leo (feat. BAEKHYUN),5550,0kvtiq8qll4OTfDXvrkXEF
12416,2021-06-07 03:36:00,Golden,Selfish,1010,6ioQrUCGCLqlmebqEhiLXE
12417,2021-06-07 03:36:00,Aimer,broKen NIGHT,490,6CDkzGTESwc9huctjalPLU
12418,2021-06-07 03:36:00,Mrs. GREEN APPLE,"Love me, Love you",730,4MqqZRjZVkheBor570C2yt
12419,2021-06-07 03:36:00,Stella Jang,Pierrot laughs at us,420,6Jg4hjIR4yesju7znd05KC
12420,2021-06-07 03:36:00,AAA,First Name,520,6PRQGNKGskPsajqcPUmavg
12421,2021-06-07 03:36:00,DAY6,Chocolate,1090,2rbfCOgXMPoBLBrK2wLX5K
12422,2021-06-07 03:36:00,Mayday,後來的我們,510,13AruKdh8wJhWx6i5dV8X1
12423,2021-06-07 03:36:00,OH MY GIRL,Dolphin,480,3NfgdU9mbIVhcJF3XvC0c9
12424,2021-06-07 03:36:00,NCT 127,Highway to Heaven,680,38dC0QJ7eBKb3F27O0i0LT
12425,2021-06-07 03:36:00,SHINee,I Want You,4150,7wNZPLzUKbttcNSyoqELuE
12426,2021-06-07 03:36:00,サザンオールスターズ,TSUNAMI,450,2iXZA6Ecf9AZHw92tZBNLv
12427,2021-06-07 03:36:00,AAA,恋音と雨空,680,78BOMFGKODShHuIrtZa6O9
12428,2021-06-07 03:36:00,Masaki Suda,糸,430,0FsdMLyUsseGCjZQAnsIK7
12429,2021-06-07 03:36:00,pH-1,Cupid,700,2QWQbZq001S7e9Pxu5rbS7
12430,2021-06-07 03:36:00,Shin Giwon Piano,Love in the Milky Way Cafe,630,79ka0jEpASJY1nyqbWx1Bz
12431,2021-06-07 03:36:00,Mega Shinnosuke,Togenkyo To Taxi,300,3R60XK5itnYkiQkopv7rKE
12432,2021-06-07 03:36:00,イ・ジェジン(from FTISLAND),Love Like The Films,710,4QAau11NNQjvoLeKjZuYFk
12433,2021-06-07 03:36:00,KANA-BOON,スターマーカー,480,0pQm5AbAaVy9XrOLf7rgSF
12434,2021-06-07 03:36:00,Mao Buyi,火花,490,4ayocefuQpp9muPJhlUrSq
12435,2021-06-07 03:36:00,Ado,ギラギラ,610,2mSRPQsUDIXJFfo3CpKJBA
12436,2021-06-07 03:36:00,Mao Buyi,想你想你,560,2fzKWRNch7vItvtI0SSTDN
12437,2021-06-07 03:36:00,Daoko,打上花火,470,4IouQaO9GkaHC7AtMErdSa
12438,2021-06-07 03:39:00,SHINee,SUPERSTAR,174693,7jiV2MnieeHtnYqTrXmQHD
12439,2021-06-07 03:42:00,DAY6,Chocolate,196262,2rbfCOgXMPoBLBrK2wLX5K
12440,2021-06-07 03:43:00,Stella Jang,Would You Love Me?,3334,2oR3YkeTtH4lV6nzt7xxrh
12441,2021-06-07 03:46:00,DEAN,풀어,211972,2p980qlVXYLh3HdHusbhfa
12442,2021-06-07 03:49:00,水槽,p.h.,152929,3rWyLf6o3RMbUeK4aafkHd
12443,2021-06-07 03:52:00,Stella Jang,Pierrot laughs at us,190999,6Jg4hjIR4yesju7znd05KC
12444,2021-06-07 03:57:00,Weeekly,Butterfly,600,0XPgftiheW0wdIWOUNii78
12445,2021-06-07 03:57:00,AAA,恋音と雨空,990,78BOMFGKODShHuIrtZa6O9
12446,2021-06-07 03:57:00,Sukima Switch,奏(かなで),328626,5RbMlPFL4gVyEHW2lEOuzG
12447,2021-06-07 03:57:00,Ado,ギラギラ,6832,2mSRPQsUDIXJFfo3CpKJBA
12448,2021-06-07 03:57:00,AAA,Beat Together,960,5AW80AfnRaxpE0WJdx5tuJ
12449,2021-06-07 04:01:00,Weeekly,Butterfly,196533,0XPgftiheW0wdIWOUNii78
12450,2021-06-07 04:06:00,AAA,恋音と雨空,316400,78BOMFGKODShHuIrtZa6O9
12451,2021-06-07 04:11:00,Mrs. GREEN APPLE,"Love me, Love you",283240,4MqqZRjZVkheBor570C2yt
12452,2021-06-07 05:20:00,GOT7,Lullaby,141676,2iXvnjL5CH66UpnGjXHDmZ
12453,2021-06-07 05:24:00,Ado,レディメイド,244377,3hkGr1uZjTdiAPZrk2NTiP
12454,2021-06-07 05:28:00,Mayday,突然好想你,265866,0IAgufC1FlOg1nZMmRZxRr
12455,2021-06-07 05:32:00,10cm,That's Not...,228840,741rympt2jslOJSh3twH7z
12456,2021-06-07 05:35:00,Daoko,打上花火,185065,4IouQaO9GkaHC7AtMErdSa
12457,2021-06-07 05:38:00,Weeekly,7days Tension,203773,3fUYFjuYWeogCfFHbCCRR1
12458,2021-06-07 05:38:00,Mrs. GREEN APPLE,"Love me, Love you",436,4MqqZRjZVkheBor570C2yt
12459,2021-06-07 05:39:00,Mike Posner,Please Don't Go,57690,6jg5SRvdGxvJ0DzNV0UqEK
12460,2021-06-07 05:39:00,Jakey,Cherrylips,1850,6Hmz80uELi3n0uFLavxmDp
12461,2021-06-07 05:39:00,Dan D'Lion,Co-Pilot,1810,03OQandATniqP5H35Xlxki
12462,2021-06-07 05:43:00,Saint Motel,My Type,204811,2Iq6HhIquO7JKr0KfTNLzU
12463,2021-06-07 05:43:00,Avril Lavigne,Girlfriend,1328,45hOioMDJktr86iKDHC8gr
12464,2021-06-07 05:43:00,Lowell,Palm Trees,1620,5CBcAuXhSrMVwxtDWLzZAX
12465,2021-06-07 05:43:00,Avicii,The Nights,4290,0ct6r3EGTcMLPtrXHDvVjc
12466,2021-06-07 05:43:00,Sante Les Amis,Brasil,2160,1EymydSgZSlLuVQcdiNohO
12467,2021-06-07 05:43:00,Death From Above 1979,Crystal Ball,1680,264py48l3YjixQ3OhlGutW
12468,2021-06-07 05:43:00,BROODS,L.A.F,1420,0XsVNUmFx0hYW18xIin9ie
12469,2021-06-07 05:43:00,FMLYBND,Come Alive (Shining),9330,1do3E46FxwDoP5wqNlECjZ
12470,2021-06-07 05:43:00,Joywave,Tongues,2040,5mCprFWOqe0jB96v9RhLBo
12471,2021-06-07 05:43:00,Catfish and the Bottlemen,Cocoon,1720,1B241LRKmK6qDDTZfUajmm
12472,2021-06-07 05:44:00,Ayasa,The reason why,820,4OTwltj2jymfgKOQBnCRw6
12473,2021-06-07 05:44:00,Summer Was Fun,My Dear,780,5y4In7WNG50knStmctWMTB
12474,2021-06-07 05:44:00,Hot Chelle Rae,Tonight Tonight,570,2i0AUcEnsDm3dsqLrFWUCq
